decision_index,case_labels,seed,step,agent,raw_action,executed_action,expert_action,feature_group,chosen_q,chosen_q_after_occlusion,chosen_q_change,action_after_occlusion,action_flipped
178,highest_margin,1491,220.0,5,2,2,2,phase,-0.09015047550201416,-2.938983201980591,-2.848832607269287,1,1
178,highest_margin,1491,220.0,5,2,2,2,minimum_green,-0.09015047550201416,-0.09015047550201416,0.0,2,0
178,highest_margin,1491,220.0,5,2,2,2,pressure,-0.09015047550201416,-0.18805420398712158,-0.09790372848510742,2,0
178,highest_margin,1491,220.0,5,2,2,2,incoming_queue,-0.09015047550201416,-0.005033254623413086,0.08511722087860107,2,0
178,highest_margin,1491,220.0,5,2,2,2,outgoing_queue,-0.09015047550201416,-0.07527422904968262,0.014876246452331543,2,0
178,highest_margin,1491,220.0,5,2,2,2,local_queue,-0.09015047550201416,-0.05732583999633789,0.03282463550567627,2,0
178,highest_margin,1491,220.0,5,2,2,2,network_context,-0.09015047550201416,-0.03998285531997681,0.050167620182037354,2,0
178,highest_margin,1491,220.0,5,2,2,2,simulation_progress,-0.09015047550201416,-0.054433226585388184,0.03571724891662598,2,0
178,highest_margin,1491,220.0,5,2,2,2,intersection_identity,-0.09015047550201416,-0.05058598518371582,0.03956449031829834,2,0
198,lowest_margin,1491,245.0,5,0,0,1,phase,-0.7612253427505493,-0.06606918573379517,0.6951561570167542,0,0
198,lowest_margin,1491,245.0,5,0,0,1,minimum_green,-0.7612253427505493,-7.957776069641113,-7.1965508460998535,1,1
198,lowest_margin,1491,245.0,5,0,0,1,pressure,-0.7612253427505493,-0.31231194734573364,0.4489133954048157,0,0
198,lowest_margin,1491,245.0,5,0,0,1,incoming_queue,-0.7612253427505493,-1.2468676567077637,-0.48564231395721436,1,1
198,lowest_margin,1491,245.0,5,0,0,1,outgoing_queue,-0.7612253427505493,-0.060907430946826935,0.700317919254303,0,0
198,lowest_margin,1491,245.0,5,0,0,1,local_queue,-0.7612253427505493,-1.4640930891036987,-0.7028677463531494,1,1
198,lowest_margin,1491,245.0,5,0,0,1,network_context,-0.7612253427505493,-2.007354497909546,-1.2461291551589966,1,1
198,lowest_margin,1491,245.0,5,0,0,1,simulation_progress,-0.7612253427505493,-0.4690452814102173,0.29218006134033203,0,0
198,lowest_margin,1491,245.0,5,0,0,1,intersection_identity,-0.7612253427505493,0.014675989747047424,0.7759013175964355,0,0
145,expert_disagreement,1491,180.0,2,0,0,1,phase,-0.0637066513299942,0.2683072090148926,0.3320138454437256,0,0
145,expert_disagreement,1491,180.0,2,0,0,1,minimum_green,-0.0637066513299942,-9.798693656921387,-9.734987258911133,1,1
145,expert_disagreement,1491,180.0,2,0,0,1,pressure,-0.0637066513299942,-0.014454200863838196,0.049252450466156006,0,0
145,expert_disagreement,1491,180.0,2,0,0,1,incoming_queue,-0.0637066513299942,-0.24705810844898224,-0.18335145711898804,0,0
145,expert_disagreement,1491,180.0,2,0,0,1,outgoing_queue,-0.0637066513299942,0.042490825057029724,0.10619747638702393,0,0
145,expert_disagreement,1491,180.0,2,0,0,1,local_queue,-0.0637066513299942,-0.15378914773464203,-0.09008249640464783,0,0
145,expert_disagreement,1491,180.0,2,0,0,1,network_context,-0.0637066513299942,-0.08164626359939575,-0.01793961226940155,0,0
145,expert_disagreement,1491,180.0,2,0,0,1,simulation_progress,-0.0637066513299942,0.05672810971736908,0.12043476104736328,0,0
145,expert_disagreement,1491,180.0,2,0,0,1,intersection_identity,-0.0637066513299942,-0.10032433271408081,-0.03661768138408661,0,0
